"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-14","11.63","0.00","0.0","0","71",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-15","9.84","0.24","0.0","0","68","    1",,"    1",,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-16","11.18","0.35","0.0","0","68","    1",,"    1",,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-17","8.50","1.81","0.0","0","68","    1",,"    1",,,,"    1",
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-18","13.42","0.27","0.0","0","53","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-19","12.30","0.00","0.0","0","49",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-20","13.42","1.47","0.0","0","48","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-21","10.51","0.04","0.0","0","50","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-22","9.62","0.01","0.0","0","53",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-23","7.83","0.01","0.0","0","56",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-24","8.28","0.00","0.0","0","54",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-25","7.83","0.01","0.0","0","60",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-26","8.72","0.00","0.0","0","67",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-27","5.82","0.00","0.0","0","66",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-28","12.30","0.02","0.0","0","66",,,"    1",,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-29","13.87","0.00","0.0","0","59",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-30","12.08","0.00","0.0","0","56",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-05-31","10.96","0.00","0.0","0","61",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-01","4.70","0.00","0.0","0","65",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-02","7.38","0.00","0.0","0","73",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-03","9.62","0.00","0.0","0","82",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-04","10.07","0.00","0.0","0","78",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-05","8.50","0.00","0.0","0","72",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-06","7.38","0.00","0.0","0","71",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-07","8.05","0.02","0.0","0","74",,,"    1",,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-08","8.50","0.00","0.0","0","78",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-09","9.17","0.00","0.0","0","75",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-10","14.76","0.00","0.0","0","83",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-11","7.61","1.82","0.0","0","76","    1",,"    1",,"    1",,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-12","6.71","0.20","0.0","0","72","    1",,"    1",,,,"    1",
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-13","14.32","0.14","0.0","0","75","    1",,"    1",,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-14","9.84","0.08","0.0","0","77","    1",,"    1",,,,"    1",
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-15","10.74","0.00","0.0","0","77",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-16","6.93","0.00","0.0","0","76",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-17","7.16","0.20","0.0","0","75","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-18","11.86","0.01","0.0","0","66",,,"    1",,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-19","12.30","0.00","0.0","0","67",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-20","7.61","0.25","0.0","0","67","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-21","9.62","0.00","0.0","0","70",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-22","5.82","0.49","0.0","0","71","    1",,"    1",,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-23","13.20","0.00","0.0","0","66",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-24","13.42","0.00","0.0","0","62",,,"    1",,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-25","12.75","0.00","0.0","0","60",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-26","6.93","0.00","0.0","0","62",,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2017-06-27","9.62","0.00","0.0","0","66",,,,,,,,
